PITCHER_STATS_ID,TEAM_ID,PITCHER_STATS_YEAR,PLAYER_NAME,PITCHER_STATS_ERA,PITCHER_STATS_G,PITCHER_STATS_W,PITCHER_STATS_L,PITCHER_STATS_SV,PITCHER_STATS_HLD,PITCHER_STATS_WPCT,PITCHER_STATS_IP,PITCHER_STATS_H,PITCHER_STATS_HR,PITCHER_STATS_BB,PITCHER_STATS_HBP,PITCHER_STATS_SO,PITCHER_STATS_R,PITCHER_STATS_ER,PITCHER_STATS_WHIP
1,3,2002,엘비라,2.50 ,22,13,6,0,0,0.684 ,137,115,7,52,4,111,44,38,1.22 
2,9,2002,송진우,2.99 ,31,18,7,0,0,0.720 ,220,199,16,54,11,165,82,73,1.15 
3,3,2002,임창용,3.08 ,36,17,6,2,0,0.739 ,204 1/3,188,24,34,24,160,82,70,1.09 
4,4,2002,리오스,3.14 ,54,14,5,13,1,0.737 ,157 2/3,140,14,44,24,102,59,55,1.17 
5,13,2002,이승호,3.15 ,27,6,12,0,0,0.333 ,142 2/3,120,18,40,5,144,55,50,1.12 
6,13,2002,채병용,3.19 ,51,7,9,11,2,0.438 ,141,120,20,44,9,126,51,50,1.16 
7,4,2002,키퍼,3.34 ,32,19,9,0,0,0.679 ,202 1/3,172,24,52,16,135,84,75,1.11 
8,6,2002,박명환,3.44 ,30,14,10,0,0,0.583 ,185 2/3,173,12,68,7,169,78,71,1.30 
9,2,2002,손민한,3.67 ,23,4,9,0,0,0.308 ,142 1/3,144,19,30,4,82,68,58,1.22 
10,6,2002,구자운,3.79 ,32,8,8,1,0,0.500 ,133,134,6,58,7,95,64,56,1.44 
11,6,2002,레스,3.87 ,31,16,8,0,0,0.667 ,202 1/3,202,19,69,8,154,97,87,1.34 
12,6,2002,이상훈,3.91 ,70,4,10,2,6,0.286 ,133 2/3,129,9,40,10,93,59,58,1.26 
13,6,2002,콜,4.01 ,27,12,6,0,0,0.667 ,157,152,11,73,8,114,71,70,1.43 
14,4,2002,김진우,4.07 ,33,12,11,0,0,0.522 ,188,201,20,67,11,177,94,85,1.43 
15,12,2002,토레스,4.19 ,28,10,11,0,0,0.476 ,180 1/3,182,21,64,21,97,97,84,1.36 
16,5,2002,만자니오,4.32 ,31,8,11,0,1,0.421 ,162 1/3,161,13,94,21,122,85,78,1.57 
17,2,2002,염종석,4.36 ,31,8,14,0,0,0.364 ,159,180,15,36,15,108,93,77,1.36 
18,5,2002,최원호,4.41 ,31,6,11,0,0,0.353 ,138 2/3,127,19,61,17,53,70,68,1.36 
19,4,2002,최상덕,4.47 ,24,8,7,0,0,0.533 ,133,150,23,33,4,79,79,66,1.38 
20,13,2002,제춘모,4.68 ,30,9,7,0,0,0.563 ,146,154,18,51,11,93,90,76,1.40 
21,12,2002,김수경,4.88 ,27,12,10,0,0,0.545 ,151 1/3,155,25,58,2,130,84,82,1.41 
22,9,2002,정민철,5.35 ,26,7,13,0,0,0.350 ,138,144,19,39,9,116,83,82,1.33 
23,12,2003,바워스,3.01 ,24,13,4,1,1,0.765 ,143 2/3,145,12,46,9,85,58,48,1.33 
24,5,2003,이승호,3.19 ,31,11,11,0,0,0.500 ,191 2/3,151,17,103,9,157,76,68,1.33 
25,12,2003,정민태,3.31 ,29,17,2,0,0,0.895 ,177,179,17,42,5,122,76,65,1.25 
26,4,2003,김진우,3.45 ,24,11,5,0,0,0.688 ,169 1/3,150,9,63,12,146,68,65,1.26 
27,9,2003,이상목,3.54 ,33,15,7,1,1,0.682 ,185 1/3,203,18,29,4,118,78,73,1.25 
28,3,2003,임창용,3.55 ,28,13,3,1,0,0.813 ,147,141,15,44,15,85,63,58,1.26 
29,6,2003,이리키,3.74 ,39,7,11,5,0,0.389 ,159,155,17,53,9,87,68,66,1.31 
30,6,2003,키퍼,3.79 ,29,8,7,0,0,0.533 ,168 2/3,160,15,46,17,77,78,71,1.22 
31,4,2003,리오스,3.82 ,30,10,13,0,0,0.435 ,188 2/3,186,19,62,28,121,93,80,1.31 
32,9,2003,정민철,4.00 ,26,11,10,0,0,0.524 ,139 2/3,132,18,51,4,73,65,62,1.31 
33,3,2003,김진웅,4.05 ,32,9,11,1,0,0.450 ,153 1/3,151,19,70,5,99,75,69,1.44 
34,13,2003,스미스,4.20 ,30,7,10,0,0,0.412 ,152,157,9,61,9,82,84,71,1.43 
35,3,2003,배영수,4.51 ,30,13,5,0,0,0.722 ,163 2/3,174,11,77,7,99,85,82,1.53 
36,12,2003,김수경,4.63 ,29,10,9,0,0,0.526 ,167,184,14,70,4,121,96,86,1.52 
37,6,2004,박명환,2.50 ,26,12,3,0,0,0.800 ,158 2/3,130,4,52,7,162,50,44,1.15 
38,6,2004,레스,2.60 ,29,17,8,0,0,0.680 ,200 2/3,189,12,57,15,116,68,58,1.23 
39,3,2004,배영수,2.61 ,35,17,2,0,0,0.895 ,189 2/3,163,6,74,11,144,65,55,1.25 
40,4,2004,리오스,2.87 ,32,17,8,0,0,0.680 ,222 2/3,209,10,70,25,145,75,71,1.25 
41,3,2004,권오준,3.23 ,47,11,5,2,7,0.688 ,153 1/3,128,15,40,7,142,56,55,1.10 
42,12,2004,피어리,3.32 ,28,16,6,0,0,0.727 ,181 2/3,166,24,61,9,130,73,67,1.25 
43,9,2004,송진우,3.61 ,28,11,8,1,0,0.579 ,172,162,19,44,7,100,73,69,1.20 
44,2,2004,박지철,3.87 ,27,9,7,0,0,0.563 ,139 2/3,131,9,60,6,94,62,60,1.37 
45,12,2004,오주원,3.99 ,30,10,9,0,0,0.526 ,149,135,16,53,5,113,71,66,1.26 
46,13,2004,이승호,3.99 ,31,15,9,0,1,0.625 ,169,160,21,87,13,145,87,75,1.46 
47,12,2004,김수경,4.01 ,26,11,8,0,0,0.579 ,152 2/3,151,14,62,3,100,74,68,1.40 
48,5,2004,장문석,4.03 ,28,10,8,1,0,0.556 ,152,168,15,55,8,75,73,68,1.47 
49,4,2004,마뇽,4.17 ,34,8,9,0,1,0.471 ,155 1/3,156,15,63,9,83,76,72,1.41 
50,13,2004,김원형,4.20 ,30,8,6,1,1,0.571 ,135,147,19,41,10,78,70,63,1.39 
51,3,2004,호지스,4.24 ,30,9,10,0,0,0.474 ,163 1/3,158,15,81,21,123,91,77,1.46 
52,3,2004,김진웅,4.32 ,35,9,7,0,2,0.563 ,135 1/3,126,12,75,8,99,73,65,1.49 
53,5,2004,김광삼,4.47 ,31,8,7,0,1,0.533 ,151,164,9,76,11,109,85,75,1.59 
54,12,2004,정민태,5.00 ,28,7,14,0,0,0.333 ,165 2/3,193,21,42,8,123,109,92,1.42 
55,9,2004,송창식,5.13 ,26,8,7,0,0,0.533 ,140 1/3,143,15,63,8,80,83,80,1.47 
56,4,2004,강철민,5.33 ,31,8,12,1,0,0.400 ,145 1/3,159,14,61,13,86,94,86,1.51 
57,2,2005,손민한,2.46 ,28,18,7,1,0,0.720 ,168 1/3,149,9,38,2,105,54,46,1.11 
58,3,2005,배영수,2.86 ,31,11,11,2,1,0.500 ,173,148,10,48,11,147,61,55,1.13 
59,6,2005,랜들,3.25 ,29,12,7,0,0,0.632 ,149 2/3,163,18,47,15,111,59,54,1.40 
60,12,2005,황두성,3.29 ,60,11,9,1,7,0.550 ,128 2/3,106,15,41,6,137,53,47,1.14 
61,13,2005,신승현,3.38 ,30,12,9,0,0,0.571 ,154 2/3,146,12,45,12,91,70,58,1.23 
62,13,2005,김원형,3.41 ,30,14,8,0,0,0.636 ,171 2/3,172,17,30,15,94,73,65,1.18 
63,9,2005,문동환,3.47 ,26,10,9,0,0,0.526 ,173 2/3,174,12,57,3,103,74,67,1.33 
64,6,2005,리오스,3.51 ,32,15,12,0,0,0.556 ,205 1/3,203,20,57,17,147,88,80,1.27 
65,9,2005,송진우,3.81 ,23,11,7,0,0,0.611 ,127 2/3,126,13,42,7,88,61,54,1.32 
66,4,2005,김진우,3.91 ,31,6,10,1,0,0.375 ,145,126,10,61,12,123,71,63,1.29 
67,12,2005,캘러웨이,3.97 ,32,16,9,0,0,0.640 ,197 1/3,206,17,54,12,103,99,87,1.32 
68,5,2005,최원호,4.07 ,27,13,6,0,0,0.684 ,163 2/3,153,17,60,15,106,79,74,1.30 
69,9,2005,김해님,4.28 ,32,6,8,1,2,0.429 ,128 1/3,152,12,30,10,61,66,61,1.42 
70,3,2005,바르가스,5.06 ,26,10,8,0,0,0.556 ,128,120,12,63,7,66,78,72,1.43 
