연도,날짜,시간,경기,TV,라디오,구장,비고
2001,04.05,14:00,LG6vs11SK,,,인천,-
2001,04.05,14:00,KIA5vs6두산,,,잠실,-
2001,04.05,14:00,롯데5vs1현대,,,수원,-
2001,04.05,14:10,한화3vs4삼성,,,시민,-
2001,04.06,18:30,한화3vs12삼성,,,시민,-
2001,04.06,18:30,LG4vs7SK,,,인천,-
2001,04.06,18:30,KIA2vs8두산,,,잠실,-
2001,04.06,18:30,롯데1vs3현대,,,수원,-
2001,04.07,17:00,현대4vs5KIA,,,무등,-
2001,04.07,17:00,두산3vs0LG,,,잠실,-
2001,04.07,17:00,삼성2vs4롯데,,,사직,-
2001,04.07,17:00,SK0vs9한화,,,대전,-
2001,04.08,14:00,현대4vs6KIA,,,무등,-
2001,04.08,14:00,두산2vs6LG,,,잠실,-
2001,04.08,14:00,삼성3vs1롯데,,,사직,-
2001,04.08,14:00,SK11vs17한화,,,대전,-
2001,04.10,18:30,롯데3vs4KIA,,,무등,-
2001,04.10,18:30,삼성3vs2SK,,,인천,-
2001,04.10,18:30,한화6vs2LG,,,잠실,-
2001,04.10,18:30,두산8vs4현대,,,수원,-
2001,04.11,18:30,롯데4vs1KIA,,,무등,-
2001,04.12,14:50,삼성10vs2SK,,,인천,-
2001,04.12,15:00,한화10vs2LG,,,잠실,-
2001,04.12,15:00,두산14vs6현대,,,수원,-
2001,04.12,18:10,두산1vs10현대,,,수원,-
2001,04.12,18:20,한화10vs6LG,,,잠실,-
2001,04.12,18:30,롯데6vs7KIA,,,무등,-
2001,04.12,18:40,삼성0vs4SK,,,인천,-
2001,04.13,18:30,현대3vs4SK,,,인천,-
2001,04.13,18:30,LG5vs8삼성,,,시민,-
2001,04.13,18:30,롯데6vs4두산,,,잠실,-
2001,04.13,18:30,KIA6vs9한화,,,청주,-
2001,04.14,14:00,LG5vs6삼성,,,시민,-
2001,04.14,17:00,현대1vs4SK,,,인천,-
2001,04.14,17:00,롯데2vs7두산,,,잠실,-
2001,04.14,17:00,KIA3vs5한화,,,청주,-
2001,04.15,14:00,현대8vs4SK,,,인천,-
2001,04.15,14:00,LG2vs13삼성,,,시민,-
2001,04.15,14:00,롯데6vs1두산,,,잠실,-
2001,04.15,14:00,KIA5vs0한화,,,청주,-
2001,04.17,18:00,삼성0vs5두산,,,잠실,-
2001,04.17,18:30,SK1vs3KIA,,,무등,-
2001,04.17,18:30,LG6vs3롯데,,,사직,-
2001,04.17,18:30,한화0vs5현대,,,수원,-
2001,04.18,18:30,SK11vs2KIA,,,무등,-
2001,04.18,18:30,삼성4vs5두산,,,잠실,-
2001,04.18,18:30,LG12vs8롯데,,,사직,-
2001,04.18,18:30,한화6vs5현대,,,수원,-
2001,04.19,18:30,SK6vs4KIA,,,무등,-
2001,04.19,18:30,삼성8vs4두산,,,잠실,-
2001,04.19,18:30,LG10vs7롯데,,,사직,-
2001,04.19,18:30,한화5vs1현대,,,수원,-
2001,04.20,18:30,SK4vs1삼성,,,시민,-
2001,04.20,18:30,KIA4vs17LG,,,잠실,-
2001,04.20,18:30,현대6vs1롯데,,,사직,-
2001,04.20,18:30,두산6vs2한화,,,대전,-
2001,04.21,14:00,KIA7vs3LG,,,잠실,-
2001,04.21,17:00,SK5vs6삼성,,,시민,-
2001,04.21,17:00,현대10vs6롯데,,,사직,-
2001,04.21,17:00,두산5vs10한화,,,대전,-
2001,04.22,14:00,SK6vs4삼성,,,시민,-
2001,04.22,14:00,KIA10vs6LG,,,잠실,-
2001,04.22,14:00,현대4vs3롯데,,,사직,-
2001,04.22,14:00,두산10vs4한화,,,대전,-
2001,04.24,18:30,한화2vs3SK,,,인천,-
2001,04.24,18:30,롯데7vs8삼성,,,시민,-
2001,04.24,18:30,두산10vs10KIA,,,무등,-
2001,04.24,18:30,현대13vs2LG,,,잠실,-
2001,04.25,18:30,한화0vs2SK,,,인천,-
2001,04.25,18:30,롯데5vs4삼성,,,시민,-
2001,04.25,18:30,두산3vs2KIA,,,무등,-
2001,04.25,18:30,현대2vs3LG,,,잠실,-
2001,04.26,18:30,한화0vs2SK,,,인천,-
2001,04.26,18:30,롯데5vs9삼성,,,시민,-
2001,04.26,18:30,두산5vs4KIA,,,무등,-
2001,04.26,18:30,현대10vs5LG,,,잠실,-
2001,04.27,18:30,KIA2vs1롯데,,,마산,-
2001,04.27,18:30,SK1vs4두산,,,잠실,-
2001,04.27,18:30,삼성4vs6현대,,,수원,-
2001,04.27,18:30,LG5vs9한화,,,대전,-
2001,04.28,16:50,KIA1vs5롯데,,,마산,-
2001,04.28,17:00,SK6vs7두산,,,잠실,-
2001,04.28,17:00,삼성1vs12현대,,,수원,-
2001,04.28,17:00,LG4vs7한화,,,대전,-
2001,04.29,14:00,SK10vs5두산,,,잠실,-
2001,04.29,14:00,삼성10vs4현대,,,수원,-
2001,04.30,18:30,LG2vs5한화,,,대전,-
2001,05.01,14:00,한화4vs2KIA,,,무등,-
2001,05.01,14:00,두산1vs12삼성,,,시민,-
2001,05.01,14:00,롯데1vs5LG,,,잠실,-
2001,05.01,14:00,SK2vs12현대,,,수원,-
2001,05.02,18:30,한화0vs8KIA,,,무등,-
2001,05.02,18:30,두산2vs4삼성,,,시민,-
2001,05.02,18:30,롯데14vs2LG,,,잠실,-
2001,05.02,18:30,SK3vs5현대,,,수원,-
2001,05.03,18:30,한화10vs2KIA,,,무등,-
2001,05.03,18:30,두산14vs8삼성,,,시민,-
2001,05.03,18:30,롯데7vs9LG,,,잠실,-
2001,05.03,18:30,SK1vs2현대,,,수원,-
2001,05.04,18:30,현대8vs5삼성,,,시민,-
2001,05.04,18:30,KIA2vs8SK,,,인천,-
2001,05.04,18:30,LG4vs11두산,,,잠실,-
2001,05.04,18:30,롯데9vs1한화,,,대전,-
2001,05.05,14:00,현대6vs7삼성,,,시민,-
2001,05.05,14:00,KIA10vs7SK,,,인천,-
2001,05.05,14:00,LG5vs16두산,,,잠실,-
2001,05.05,14:00,롯데13vs1한화,,,대전,-
2001,05.06,14:00,현대6vs7삼성,,,시민,-
2001,05.06,14:00,KIA5vs4SK,,,인천,-
2001,05.06,14:00,LG3vs3두산,,,잠실,-
2001,05.06,14:00,롯데2vs5한화,,,대전,-
2001,05.08,18:30,삼성5vs11KIA,,,무등,-
2001,05.08,18:30,한화10vs7두산,,,잠실,-
2001,05.08,18:30,LG6vs3현대,,,수원,-
2001,05.09,15:00,SK10vs9롯데,,,마산,-
2001,05.09,18:30,SK4vs4롯데,,,마산,-
2001,05.09,18:30,삼성2vs8KIA,,,무등,-
2001,05.09,18:30,한화6vs7두산,,,잠실,-
2001,05.09,18:30,LG4vs8현대,,,수원,-
2001,05.10,18:30,SK1vs4롯데,,,마산,-
2001,05.10,18:30,삼성0vs4KIA,,,무등,-
2001,05.10,18:30,한화3vs2두산,,,잠실,-
2001,05.10,18:30,LG2vs7현대,,,수원,-
2001,05.11,18:30,두산1vs5SK,,,인천,-
2001,05.11,18:30,삼성8vs3LG,,,잠실,-
2001,05.11,18:30,한화3vs8롯데,,,사직,-
2001,05.11,18:30,KIA1vs4현대,,,수원,-
2001,05.12,16:50,한화10vs9롯데,,,사직,-
2001,05.12,17:00,두산2vs6SK,,,인천,-
2001,05.12,17:00,삼성4vs1LG,,,잠실,-
2001,05.12,17:00,KIA7vs4현대,,,수원,-
2001,05.13,14:00,두산8vs5SK,,,인천,-
2001,05.13,14:00,삼성9vs8LG,,,잠실,-
2001,05.13,14:00,한화3vs6롯데,,,사직,-
2001,05.13,14:00,KIA3vs4현대,,,수원,-
2001,05.15,18:30,롯데5vs12삼성,,,시민,-
2001,05.15,18:30,SK7vs2KIA,,,무등,-
2001,05.15,18:30,두산9vs6LG,,,잠실,-
2001,05.15,18:30,현대6vs1한화,,,청주,-
