GAME_DATE,STADIUM,HOME_SCORE,AWAY_SCORE,IS_RAINED_OUT,HOME_TEAM_NAME,AWAY_TEAM_NAME
2001-04-05 14:00:00,인천,11,6,N,SK,LG
2001-04-05 14:00:00,잠실,6,5,N,두산,KIA
2001-04-05 14:00:00,수원,1,5,N,현대,롯데
2001-04-05 14:10:00,시민,4,3,N,삼성,한화
2001-04-06 18:30:00,시민,12,3,N,삼성,한화
2001-04-06 18:30:00,인천,7,4,N,SK,LG
2001-04-06 18:30:00,잠실,8,2,N,두산,KIA
2001-04-06 18:30:00,수원,3,1,N,현대,롯데
2001-04-07 17:00:00,무등,5,4,N,KIA,현대
2001-04-07 17:00:00,잠실,0,3,N,LG,두산
2001-04-07 17:00:00,사직,4,2,N,롯데,삼성
2001-04-07 17:00:00,대전,9,0,N,한화,SK
2001-04-08 14:00:00,무등,6,4,N,KIA,현대
2001-04-08 14:00:00,잠실,6,2,N,LG,두산
2001-04-08 14:00:00,사직,1,3,N,롯데,삼성
2001-04-08 14:00:00,대전,17,11,N,한화,SK
2001-04-01 18:30:00,무등,4,3,N,KIA,롯데
2001-04-01 18:30:00,인천,2,3,N,SK,삼성
2001-04-01 18:30:00,잠실,2,6,N,LG,한화
2001-04-01 18:30:00,수원,4,8,N,현대,두산
2001-04-11 18:30:00,무등,1,4,N,KIA,롯데
2001-04-12 14:50:00,인천,2,10,N,SK,삼성
2001-04-12 15:00:00,잠실,2,10,N,LG,한화
2001-04-12 15:00:00,수원,6,14,N,현대,두산
2001-04-12 18:10:00,수원,10,1,N,현대,두산
2001-04-12 18:20:00,잠실,6,10,N,LG,한화
2001-04-12 18:30:00,무등,7,6,N,KIA,롯데
2001-04-12 18:40:00,인천,4,0,N,SK,삼성
2001-04-13 18:30:00,인천,4,3,N,SK,현대
2001-04-13 18:30:00,시민,8,5,N,삼성,LG
2001-04-13 18:30:00,잠실,4,6,N,두산,롯데
2001-04-13 18:30:00,청주,9,6,N,한화,KIA
2001-04-14 14:00:00,시민,6,5,N,삼성,LG
2001-04-14 17:00:00,인천,4,1,N,SK,현대
2001-04-14 17:00:00,잠실,7,2,N,두산,롯데
2001-04-14 17:00:00,청주,5,3,N,한화,KIA
2001-04-15 14:00:00,인천,4,8,N,SK,현대
2001-04-15 14:00:00,시민,13,2,N,삼성,LG
2001-04-15 14:00:00,잠실,1,6,N,두산,롯데
2001-04-15 14:00:00,청주,0,5,N,한화,KIA
2001-04-17 18:00:00,잠실,5,0,N,두산,삼성
2001-04-17 18:30:00,무등,3,1,N,KIA,SK
2001-04-17 18:30:00,사직,3,6,N,롯데,LG
