,PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,PLAYER_BACK_NUMBER,PLAYER_BIRTH_DATE,PLAYER_HEIGHT_WEIGHT,PLAYER_EDUCATION_PATH
0,1,권광민,내야수,9,17.0,1997-12-12,"189cm, 102kg",서울청구초-홍은중-장충고
1,2,권민규,투수,9,64.0,2006-05-13,"188cm, 90kg",청주석교초-세광중-세광고
2,3,김건,내야수,9,56.0,2000-02-23,"183cm, 79kg",양정초-개성중-경남고
3,4,김규연,투수,9,,2002-08-23,"183cm, 91kg",동수원초(수원영통구리틀)-매향중-공주고-한화-상무
4,5,김기중,투수,9,15.0,2002-11-16,"186cm, 96kg",의왕부곡초-매송중-유신고
5,6,김도빈,투수,9,62.0,2001-01-05,"190cm, 95kg",서화초-경기신흥중-성지고-강릉영동대
6,7,김민우,투수,9,53.0,1995-07-25,"186cm, 123kg",사파초-마산중-용마고
7,8,김범수,투수,9,47.0,1995-10-03,"181cm, 92kg",온양온천초-온양중-북일고
8,9,김범준,투수,9,49.0,2000-09-30,"175cm, 79kg",서울도곡초-글로벌선진중-충암고
9,10,김서현,투수,9,44.0,2004-05-31,"188cm, 86kg",효제초-자양중-서울고
10,11,김승일,투수,9,14.0,2001-07-07,"183cm, 85kg",해강초(해운대리틀)-센텀중-경남고
11,12,김예준,내야수,9,114.0,2004-10-28,"182cm, 78kg",인천당하초(인천서구리틀)-재능중-강릉고
12,13,김인환,내야수,9,37.0,1994-01-28,"186cm, 100kg",화순초-화순중-화순고-성균관대
13,14,김종수,투수,9,38.0,1994-06-03,"180cm, 88kg",성동초-덕수중-울산공고
14,15,김태연,외야수,9,25.0,1997-06-10,"178cm, 96kg",서울청구초-덕수중-야탑고
15,16,노시환,내야수,9,8.0,2000-12-03,"185cm, 105kg",부산수영초-경남중-경남고
16,17,류현진,투수,9,99.0,1987-03-25,"190cm, 113kg",창영초-동산중-동산고-(대전대)-한화-LA다저스-토론토
17,18,문동주,투수,9,1.0,2003-12-23,"188cm, 97kg",광주화정초-무등중-진흥고
18,19,문승진,투수,9,96.0,2002-04-02,"185cm, 91kg",서울청구초-홍은중-서울고
19,20,문현빈,내야수,9,51.0,2004-04-20,"174cm, 82kg",대전유천초-온양중-북일고
20,21,민승기,투수,9,115.0,2001-07-06,"181cm, 89kg",서울신내초(중랑구리틀)-청량중-경동고-여주대-한화
21,22,박부성,투수,9,111.0,2000-01-17,"185cm, 85kg",마포초(용산구리틀)-선린중-배명고-동의대
22,23,박상언,포수,9,42.0,1997-03-03,"185cm, 90kg",무원초-영남중-유신고-한화-상무
23,24,박상원,투수,9,58.0,1994-09-09,"187cm, 98kg",백운초-서울이수중-휘문고-연세대
24,25,박상현,투수,9,105.0,2005-01-06,"184cm, 83kg",안산슬기초(안산리틀)-안산중-안산공고
25,26,박성웅,투수,9,63.0,1999-08-20,"178cm, 109kg",광주서석초-충장중-광주제일고
26,27,박준영,투수,9,113.0,2003-03-02,"190cm, 103kg",청주우암초(청주시리틀)-세광중-세광고
27,28,배동현,투수,9,61.0,1998-03-16,"183cm, 83kg",판곡초(양평리틀)-언북중-경기고-한일장신대-한화-상무
28,29,배민서,투수,9,45.0,1999-11-18,"184cm, 90kg",대구수창초-경운중-대구상원고-NC-상무-NC
29,30,배승수,내야수,9,98.0,2006-05-15,"184cm, 73kg",가동초-자양중-덕수고
30,31,성지훈,투수,9,,2000-01-29,"181cm, 68kg",송정동초-무등중-광주제일고-동아대
